id,ACTION
1,0.946
2,1
3,1
4,1
5,1
6,1
7,0.994
8,1
9,0.857
10,0.996
11,0.999
12,0.989
13,1
14,0.325
15,0.996
16,0.995
17,0.125
18,0.924
19,1
20,1
21,1
22,0.995
23,1
24,0.994
25,1
26,0.969
27,0.998
28,1
29,0.999
30,0.936
31,0.998
32,1
33,1
34,0.998
35,0.999
36,1
37,0.997
38,1
39,1
40,0.969
41,0.551
42,1
43,0.999
44,1
45,1
46,0.997
47,1
48,1
49,1
50,0.999
51,0.991
52,1
53,0.991
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,0.996
64,1
65,1
66,1
67,1
68,1
69,1
70,0.588
71,1
72,1
73,1
74,1
75,1
76,0.999
77,1
78,0.998
79,0.81
80,1
81,1
82,1
83,1
84,1
85,0.998
86,0.999
87,1
88,1
89,0.999
90,0.955
91,1
92,0.525
93,1
94,1
95,1
96,1
97,0.78
98,1
99,1
100,1
101,1
102,1
103,0.999
104,0.993
105,0.958
106,0.997
107,1
108,0.999
109,1
110,1
111,0.948
112,1
113,0.997
114,1
115,0.999
116,0.965
117,0.878
118,1
119,1
120,0.999
121,0.976
122,1
123,0.981
124,1
125,1
126,0.967
127,0.993
128,0.954
129,1
130,1
131,1
132,1
133,1
134,0.955
135,1
136,0.998
137,0.999
138,0.996
139,0.997
140,1
141,1
142,1
143,1
144,1
145,1
146,0.891
147,0.583
148,0.86
149,1
150,1
151,1
152,0.843
153,0.999
154,1
155,1
156,0.996
157,1
158,0.998
159,1
160,0.999
161,0.997
162,1
163,1
164,1
165,1
166,1
167,0.976
168,1
169,1
170,1
171,1
172,1
173,0.996
174,1
175,1
176,0.998
177,0.997
178,0.999
179,1
180,0.987
181,0.739
182,1
183,0.952
184,1
185,1
186,0.976
187,1
188,1
189,0.521
190,1
191,1
192,1
193,0.999
194,1
195,0.994
196,1
197,1
198,0.986
199,1
200,0.923
201,1
202,1
203,0.992
204,0.998
205,1
206,1
207,1
208,0.999
209,0.79
210,0.977
211,0.954
212,1
213,1
214,0.999
215,0.999
216,0.991
217,0.927
218,1
219,1
220,0.974
221,0.127
222,0.999
223,1
224,0.999
225,0.95
226,0.951
227,0.999
228,0.999
229,1
230,0.999
231,0.999
232,0.999
233,0.996
234,0.142
235,0.991
236,0.991
237,0.989
238,0.982
239,0.998
240,1
241,0.999
242,0.694
243,0.725
244,1
245,0.981
246,1
247,0.998
248,1
249,0.999
250,1
251,1
252,0.99
253,1
254,1
255,1
256,1
257,1
258,0.974
259,0.977
260,1
261,0.989
262,1
263,1
264,1
265,0.995
266,1
267,0.585
268,1
269,0.989
270,0.999
